Indicator.Group...Sector,research.question,sub.research.question,hypothesis,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
select_one no SL,,,,state,idp_settlement,categorical,breadwinner,categorical,direct_reporting
select_multiple no SL,,,,state,idp_settlement,categorical,enough_water,categorical,direct_reporting
select_one SL,,,,state,idp_settlement,categorical,child_thin,categorical,direct_reporting
select_mutiple SL,,,,state,idp_settlement,categorical,latrine_features,categorical,direct_reporting
interger no SL,,,,state,idp_settlement,categorical,females_18_40,numerical,direct_reporting
interger SL,,,,state,idp_settlement,categorical,enrolled_boys_6_12,numerical,direct_reporting
