"","district","idp_settlement","n","type","Population","source","weeights","verif"
"54","doolow","yes",67,"IDP",30000,"DSA IDP Site Master List 2019",0.568144104481215,38.0656550002414
"55","eyl","no",86,"HC",7898,"OCHA pre-war settlement list",0.116528117516243,10.0214181063969
"56","gaalkacyo","no",188,"HC",149399,"OCHA pre-war settlement list",1.00832815450019,189.565693046036
"57","gaalkacyo","yes",224,"IDP",166428,"DSA IDP Site Master List 2019",0.942736730711336,211.173027679339
"58","galdogob","no",50,"HC",40716,"OCHA pre-war settlement list",1.03325413932655,51.6627069663277
"59","galdogob","yes",84,"IDP",10890,"DSA IDP Site Master List 2019",0.164498009108186,13.8178327650876
"60","garbahaarey","no",30,"HC",60048,"OCHA pre-war settlement list",2.53974050161611,76.1922150484832
"61","garbahaarey","yes",30,"IDP",1680,"DSA IDP Site Master List 2019",0.071055889333784,2.13167668001352
"62","garowe","no",85,"HC",62278,"OCHA pre-war settlement list",0.929667789060798,79.0217620701679
"63","garowe","yes",84,"IDP",45626,"DSA IDP Site Master List 2019",0.689199831365482,57.8927858347005
"64","gebiley","no",209,"HC",86783,"OCHA pre-war settlement list",0.526866305882927,110.115057929532
"65","gebiley","yes",54,"IDP",8120,"DSA IDP Site Master List 2019",0.190798221359235,10.3031039533987
"66","hargeysa","no",119,"HC",695249,"OCHA pre-war settlement list",7.41319567878511,882.170285775429
"67","hargeysa","yes",120,"IDP",107267,"DSA IDP Site Master List 2019",1.13421905969747,136.106287163697
"68","hobyo","no",106,"HC",45867,"OCHA pre-war settlement list",0.549043206885558,58.1985799298691
"69","hobyo","yes",65,"IDP",1602,"DSA IDP Site Master List 2019",0.0312723996463522,2.03270597701289
"70","iskushuban","no",104,"HC",14661,"OCHA pre-war settlement list",0.178871976909788,18.602685598618
"71","jariiban","no",85,"HC",8971,"OCHA pre-war settlement list",0.133916467061634,11.3828997002389
"72","jowhar","no",137,"HC",323991,"OCHA pre-war settlement list",3.00071280515407,411.097654306107
"73","jowhar","yes",71,"IDP",9481,"DSA IDP Site Master List 2019",0.169436842749901,12.030015835243
"74","kismayo","no",135,"HC",146807,"OCHA pre-war settlement list",1.37982829965937,186.276820454015
"75","kismayo","yes",168,"IDP",63468,"DSA IDP Site Master List 2019",0.479355355467326,80.5316997185108
"76","laas_caanood","no",176,"HC",74523,"OCHA pre-war settlement list",0.537266440830112,94.5588935860997
"77","laas_caanood","yes",121,"IDP",40825,"DSA IDP Site Master List 2019",0.428107538673514,51.8010121794952
"78","laasqoray","no",147,"HC",73278,"OCHA pre-war settlement list",0.632511353085644,92.9791689035897
"79","laasqoray","yes",79,"IDP",11874,"DSA IDP Site Master List 2019",0.190713749988551,15.0663862490956
"80","lughaye","no",155,"HC",31774,"OCHA pre-war settlement list",0.260107123005951,40.3166040659224
"81","lughaye","yes",94,"IDP",14156,"DSA IDP Site Master List 2019",0.191084188717524,17.9619137394473
"82","luuq","no",90,"HC",61464,"OCHA pre-war settlement list",0.866543488494385,77.9889139644947
"83","luuq","yes",47,"IDP",28470,"DSA IDP Site Master List 2019",0.768602267983598,36.1243065952291
"84","marka","no",70,"HC",228573,"OCHA pre-war settlement list",4.14322902874771,290.026032012339
"85","owdweyne","no",111,"HC",43965,"OCHA pre-war settlement list",0.502569526151836,55.7852174028538
"86","owdweyne","yes",67,"IDP",1600,"DSA IDP Site Master List 2019",0.0303010189056648,2.03016826667954
"87","qardho","no",50,"HC",83056,"OCHA pre-war settlement list",2.1077206944667,105.386034723335
"88","qoryooley","no",123,"HC",148864,"OCHA pre-war settlement list",1.53566549212898,188.886855531865
"89","sheikh","no",98,"HC",34805,"OCHA pre-war settlement list",0.450637796695035,44.1625040761134
"90","taleex","no",58,"HC",8420,"OCHA pre-war settlement list",0.184202767300019,10.6837605034011
"91","taleex","yes",50,"IDP",3860,"DSA IDP Site Master List 2019",0.097955618867288,4.8977809433644
"92","waajid","no",129,"HC",80337,"OCHA pre-war settlement list",0.790201686241446,101.936017525147
"93","waajid","yes",74,"IDP",10074,"DSA IDP Site Master List 2019",0.172735769582177,12.7824469490811
"94","wanla_weyn","no",179,"HC",166558,"OCHA pre-war settlement list",1.1806590997263,211.337978851007
"95","wanla_weyn","yes",78,"IDP",7720,"DSA IDP Site Master List 2019",0.125584126752933,9.79556188672879
"96","xudun","no",68,"HC",10392,"OCHA pre-war settlement list",0.193910924883583,13.1859428920836
"97","xudun","yes",104,"IDP",14010,"DSA IDP Site Master List 2019",0.170929431587623,17.7766608851128
"98","xudur","no",101,"HC",102704,"OCHA pre-war settlement list",1.29026238651643,130.31650103816
"99","xudur","yes",51,"IDP",971,"DSA IDP Site Master List 2019",0.0241580071929637,1.23205836684115
"100","zeylac","no",129,"HC",27677,"OCHA pre-war settlement list",0.272233367814388,35.1181044480561
